year,city,parameter,station_name,count,mean,std,min,25%,50%,75%,max
2022,Napoli,no2 µg/m³,IT1495A,4310.0,40.910830626450114,24.790111559858573,0.71,22.0,35.6,54.9,141.0
2022,Napoli,no2 µg/m³,IT1496A,4451.0,36.47884969669737,21.581391854139024,0.0,21.2,32.2,46.5,146.0
2022,Napoli,no2 µg/m³,IT1497A,4310.0,20.191276102088167,18.67055461797355,0.0,7.59,14.1,26.8,133.0
2022,Napoli,no2 µg/m³,NA07 ENTE FERROVIE,4455.0,54.1199012345679,32.43345851359739,0.0,27.4,49.8,74.7,242.0
2022,Napoli,no2 µg/m³,NA09 I.T.I.S. ARGINE,4344.0,39.98895948434622,24.962352038975062,2.42,19.1,35.25,56.7,139.0
2022,Napoli,o3 µg/m³,IT1497A,4306.0,66.6177078495123,28.09622656175797,0.26,47.1,67.65,83.875,195.0
2022,Napoli,pm10 µg/m³,IT0898A,4143.0,25.919623461259956,13.821275688737101,0.0,16.4,23.7,32.5,112.0
2022,Napoli,pm10 µg/m³,NA07 ENTE FERROVIE,4384.0,28.80107208029197,20.000899163915044,0.0,17.1,25.3,35.2,442.0
2022,Napoli,pm10 µg/m³,NA09 I.T.I.S. ARGINE,4531.0,32.298276318693446,30.423103377620716,0.0,17.85,25.2,37.3,424.0
2022,Napoli,pm25 µg/m³,IT0898A,4175.0,16.282946107784433,10.355347011589917,0.0,9.6,14.3,19.9,111.0
2022,Napoli,pm25 µg/m³,NA09 I.T.I.S. ARGINE,4552.0,20.490092267135328,16.911841438201247,0.0,10.9,16.3,24.2,259.0
2022,Roma,no2 µg/m³,ARENULA,5295.0,33.42511803588291,20.818889355697276,4.0,17.0,28.0,46.0,125.0
2022,Roma,no2 µg/m³,BUFALOTTA,5141.0,29.083835829605135,19.955869926047786,1.0,15.0,22.0,38.0,114.0
2022,Roma,no2 µg/m³,C.SO FRANCIA,5218.0,38.851284016864696,17.02847797042034,0.0,26.0,37.0,49.0,108.0
2022,Roma,no2 µg/m³,CINECITTA,69.0,20.246376811594203,13.54665771357888,5.0,9.0,16.0,27.0,55.0
2022,Roma,no2 µg/m³,CIPRO,12621.0,32.93447428888361,18.42689072851184,1.0,19.0,29.0,43.0,118.0
2022,Roma,no2 µg/m³,Fermi,6635.0,45.80949510173323,23.54664003910604,5.0,28.0,41.0,58.0,301.0
2022,Roma,no2 µg/m³,IT0825A,1.0,37.0,,37.0,37.0,37.0,37.0,37.0
2022,Roma,no2 µg/m³,IT1176A,6810.0,29.470631424375917,20.86608592488712,1.0,13.0,23.0,42.0,124.0
2022,Roma,no2 µg/m³,IT1835A,6294.0,28.47473784556721,18.820501157928877,1.0,15.0,23.0,37.0,122.0
2022,Roma,no2 µg/m³,IT1906A,4896.0,30.461805555555557,17.963445220098023,3.0,16.0,27.0,41.25,119.0
2022,Roma,no2 µg/m³,IT2012A,6282.0,16.85705189430118,15.191656936339593,1.0,6.0,12.0,24.0,133.0
2022,Roma,no2 µg/m³,L.GO MAGNA GRECIA,7083.0,37.31709727516589,18.496829527208064,2.0,23.0,34.0,48.0,154.0
2022,Roma,no2 µg/m³,L.GO PERESTRELLO,5334.0,29.283464566929133,22.02777426847132,1.0,12.0,22.0,41.0,124.0
2022,Roma,no2 µg/m³,Malagrotta,5312.0,15.990963855421686,15.375471215353224,0.0,5.0,10.0,22.0,133.0
2022,Roma,no2 µg/m³,TIBURTINA,7594.0,34.572952330787466,17.32227997214166,0.0,22.0,32.0,44.0,238.0
2022,Roma,no2 µg/m³,VILLA ADA,7822.0,24.225901304014318,12.831443090038407,2.0,15.0,21.0,31.0,129.0
2022,Roma,o3 µg/m³,ARENULA,5435.0,37.55988960441582,25.362122491164996,0.0,13.0,40.0,58.0,109.0
2022,Roma,o3 µg/m³,BUFALOTTA,5471.0,47.60043867665875,34.575097924906174,0.0,14.0,48.0,75.0,194.0
2022,Roma,o3 µg/m³,CINECITTA,68.0,45.955882352941174,30.556252907500724,0.0,17.75,48.0,73.0,94.0
2022,Roma,o3 µg/m³,CIPRO,12847.0,49.42313380555772,30.813549680160452,0.0,21.0,51.0,74.0,147.0
2022,Roma,o3 µg/m³,IT1176A,6751.0,54.15879129017923,34.13968642208161,2.0,26.0,53.0,79.0,179.0
2022,Roma,o3 µg/m³,IT1835A,6464.0,48.04919554455446,31.54442835441536,2.0,23.0,47.0,69.0,374.0
2022,Roma,o3 µg/m³,IT1906A,6402.0,37.70431115276476,22.814245724999406,2.0,18.0,38.0,56.0,109.0
2022,Roma,o3 µg/m³,IT2012A,6571.0,58.33876122355806,29.76703026749853,2.0,35.0,62.0,81.0,154.0
2022,Roma,o3 µg/m³,L.GO PERESTRELLO,5458.0,52.662513741297175,39.25699509609696,0.0,14.0,53.0,84.0,179.0
2022,Roma,o3 µg/m³,Malagrotta,5387.0,62.95396324484871,30.246317004374852,1.0,41.0,67.0,87.0,154.0
2022,Roma,o3 µg/m³,VILLA ADA,7744.0,45.39139979338843,36.02781128163837,0.0,13.0,40.0,72.0,229.0
2022,Roma,pm10 µg/m³,ARENULA,92.0,24.42391304347826,11.90275034765114,6.0,16.0,22.0,28.25,60.0
2022,Roma,pm10 µg/m³,BUFALOTTA,86.0,29.976744186046513,14.814918350958065,5.0,20.5,28.0,35.75,80.0
2022,Roma,pm10 µg/m³,C.SO FRANCIA,90.0,26.58888888888889,10.333641411379451,4.0,20.0,25.0,32.0,58.0
