city,station_name,parameter,sensor_id,locality,timezone,is_mobile,is_monitor,distance,country,owner,provider,latitude,longitude,datetime_from,datetime_to
Firenze,FI-GRAMSCI,pm10 µg/m³,5079209,VIALE ANTONIO GRAMSCI - Firenze (FI),Europe/Rome,False,True,1389.23517678,Italy,Unknown Governmental Organization,EEA,43.77305999992753,11.272219999912377,2022-10-04T19:00:00+02:00,2025-03-25T01:00:00+01:00
Firenze,FI-GRAMSCI,pm25 µg/m³,5079210,VIALE ANTONIO GRAMSCI - Firenze (FI),Europe/Rome,False,True,1389.23517678,Italy,Unknown Governmental Organization,EEA,43.77305999992753,11.272219999912377,2022-10-04T19:00:00+02:00,2025-03-25T01:00:00+01:00
Firenze,FI-SETTIGNANO,no2 µg/m³,23963,VIA DESIDERIO DA SETTIGNANO - Firenze (FI),Europe/Rome,False,True,5907.64447155,Italy,Unknown Governmental Organization,EEA,43.789166999692725,11.323889000183687,2020-05-06T17:00:00+02:00,2026-01-28T21:00:00+01:00
Firenze,FI-SETTIGNANO,o3 µg/m³,23964,VIA DESIDERIO DA SETTIGNANO - Firenze (FI),Europe/Rome,False,True,5907.64447155,Italy,Unknown Governmental Organization,EEA,43.789166999692725,11.323889000183687,2020-05-06T17:00:00+02:00,2026-01-28T21:00:00+01:00
Firenze,FI-SCANDICCI,no2 µg/m³,24392,VIA BUOZZI - Scandicci (FI),Europe/Rome,False,True,5253.45455945,Italy,Unknown Governmental Organization,EEA,43.756940000226834,11.192780000349115,2020-05-06T20:00:00+02:00,2026-01-28T21:00:00+01:00
Firenze,FI-SCANDICCI,pm10 µg/m³,5079211,VIA BUOZZI - Scandicci (FI),Europe/Rome,False,True,5253.45455945,Italy,Unknown Governmental Organization,EEA,43.756940000226834,11.192780000349115,2020-05-06T20:00:00+02:00,2026-01-28T21:00:00+01:00
Firenze,FI-BASSI,no2 µg/m³,24526,VIALE UGO BASSI - Firenze (FI),Europe/Rome,False,True,3185.93831397,Italy,Unknown Governmental Organization,EEA,43.78666999969168,11.287499999738811,2020-05-06T20:00:00+02:00,2026-01-28T21:00:00+01:00
Firenze,FI-BASSI,pm10 µg/m³,5078269,VIALE UGO BASSI - Firenze (FI),Europe/Rome,False,True,3185.93831397,Italy,Unknown Governmental Organization,EEA,43.78666999969168,11.287499999738811,2020-05-06T20:00:00+02:00,2026-01-28T21:00:00+01:00
Firenze,FI-BASSI,pm25 µg/m³,5078287,VIALE UGO BASSI - Firenze (FI),Europe/Rome,False,True,3185.93831397,Italy,Unknown Governmental Organization,EEA,43.78666999969168,11.287499999738811,2020-05-06T20:00:00+02:00,2026-01-28T21:00:00+01:00
Firenze,FI-MOSSE,no2 µg/m³,24528,"VIA PONTE ALLE MOSSE, 211 - Firenze (FI)",Europe/Rome,False,True,2647.74887411,Italy,Unknown Governmental Organization,EEA,43.78582999969785,11.231389999994027,2020-05-06T17:00:00+02:00,2026-01-28T21:00:00+01:00
Firenze,FI-MOSSE,pm10 µg/m³,5078299,"VIA PONTE ALLE MOSSE, 211 - Firenze (FI)",Europe/Rome,False,True,2647.74887411,Italy,Unknown Governmental Organization,EEA,43.78582999969785,11.231389999994027,2020-05-06T17:00:00+02:00,2026-01-28T21:00:00+01:00
Firenze,FI-BOBOLI,pm10 µg/m³,5078739,"PIAZZA PITTI, 1 - Firenze (FI)",Europe/Rome,False,True,713.60036086,Italy,Unknown Governmental Organization,EEA,43.76527999998937,11.249169999578069,2023-05-06T02:00:00+02:00,2025-11-14T22:00:00+01:00
Roma,L.GO MAGNA GRECIA,no2 µg/m³,21915,LARGO MAGNA GRECIA - Roma (RM),Europe/Rome,False,True,2442.17551621,Italy,Unknown Governmental Organization,EEA,41.883074999854905,12.508950000372623,2018-01-29T00:00:00+01:00,2026-01-28T21:00:00+01:00
Roma,L.GO MAGNA GRECIA,pm10 µg/m³,21804,LARGO MAGNA GRECIA - Roma (RM),Europe/Rome,False,True,2442.17551621,Italy,Unknown Governmental Organization,EEA,41.883074999854905,12.508950000372623,2018-01-29T00:00:00+01:00,2026-01-28T21:00:00+01:00
Roma,ARENULA,no2 µg/m³,21941,Piazza Cairoli adiacente via dei Giubbonari - Roma (RM),Europe/Rome,False,True,627.93184579,Italy,Unknown Governmental Organization,EEA,41.89397099978775,12.475387000098593,2018-01-29T00:00:00+01:00,2026-01-28T21:00:00+01:00
Roma,ARENULA,o3 µg/m³,21947,Piazza Cairoli adiacente via dei Giubbonari - Roma (RM),Europe/Rome,False,True,627.93184579,Italy,Unknown Governmental Organization,EEA,41.89397099978775,12.475387000098593,2018-01-29T00:00:00+01:00,2026-01-28T21:00:00+01:00
Roma,ARENULA,pm10 µg/m³,21807,Piazza Cairoli adiacente via dei Giubbonari - Roma (RM),Europe/Rome,False,True,627.93184579,Italy,Unknown Governmental Organization,EEA,41.89397099978775,12.475387000098593,2018-01-29T00:00:00+01:00,2026-01-28T21:00:00+01:00
Roma,ARENULA,pm25 µg/m³,21806,Piazza Cairoli adiacente via dei Giubbonari - Roma (RM),Europe/Rome,False,True,627.93184579,Italy,Unknown Governmental Organization,EEA,41.89397099978775,12.475387000098593,2018-01-29T00:00:00+01:00,2026-01-28T21:00:00+01:00
Roma,C.SO FRANCIA,no2 µg/m³,21874,CORSO FRANCIA - Roma (RM),Europe/Rome,False,True,6115.22525238,Italy,Unknown Governmental Organization,EEA,41.94744799997372,12.46956300022777,2018-01-29T00:00:00+01:00,2026-01-28T21:00:00+01:00
Roma,C.SO FRANCIA,pm10 µg/m³,21808,CORSO FRANCIA - Roma (RM),Europe/Rome,False,True,6115.22525238,Italy,Unknown Governmental Organization,EEA,41.94744799997372,12.46956300022777,2018-01-29T00:00:00+01:00,2026-01-28T21:00:00+01:00
Roma,C.SO FRANCIA,pm25 µg/m³,21846,CORSO FRANCIA - Roma (RM),Europe/Rome,False,True,6115.22525238,Italy,Unknown Governmental Organization,EEA,41.94744799997372,12.46956300022777,2018-01-29T00:00:00+01:00,2026-01-28T21:00:00+01:00
Roma,Fermi,no2 µg/m³,21864,Roma,Europe/Rome,False,True,3417.99621613,Italy,Unknown Governmental Organization,ARPA Lazio,41.864194,12.469531,2018-01-29T00:00:00+01:00,2026-01-24T01:00:00+01:00
Roma,Fermi,pm10 µg/m³,21814,Roma,Europe/Rome,False,True,3417.99621613,Italy,Unknown Governmental Organization,ARPA Lazio,41.864194,12.469531,2018-01-29T00:00:00+01:00,2026-01-24T01:00:00+01:00
Roma,Malagrotta,no2 µg/m³,21948,Roma,Europe/Rome,False,True,11578.11231429,Italy,Unknown Governmental Organization,ARPA Lazio,41.874894,12.345598,2018-01-29T00:00:00+01:00,2026-01-24T01:00:00+01:00
Roma,Malagrotta,o3 µg/m³,21942,Roma,Europe/Rome,False,True,11578.11231429,Italy,Unknown Governmental Organization,ARPA Lazio,41.874894,12.345598,2018-01-29T00:00:00+01:00,2026-01-24T01:00:00+01:00
Roma,Malagrotta,pm10 µg/m³,21818,Roma,Europe/Rome,False,True,11578.11231429,Italy,Unknown Governmental Organization,ARPA Lazio,41.874894,12.345598,2018-01-29T00:00:00+01:00,2026-01-24T01:00:00+01:00
Roma,Malagrotta,pm25 µg/m³,21830,Roma,Europe/Rome,False,True,11578.11231429,Italy,Unknown Governmental Organization,ARPA Lazio,41.874894,12.345598,2018-01-29T00:00:00+01:00,2026-01-24T01:00:00+01:00
Roma,VILLA ADA,no2 µg/m³,21950,VIA SALARIA - Roma (RM),Europe/Rome,False,True,4828.92575678,Italy,Unknown Governmental Organization,EEA,41.9328920002536,12.506946999834163,2018-01-29T00:00:00+01:00,2026-01-28T11:00:00+01:00
Roma,VILLA ADA,no2 µg/m³,21950,VIA SALARIA - Roma (RM),Europe/Rome,False,True,4828.92575678,Italy,Unknown Governmental Organization,EEA,41.9328920002536,12.506946999834163,2022-10-04T20:00:00+02:00,2026-01-28T21:00:00+01:00
Roma,VILLA ADA,o3 µg/m³,21870,VIA SALARIA - Roma (RM),Europe/Rome,False,True,4828.92575678,Italy,Unknown Governmental Organization,EEA,41.9328920002536,12.506946999834163,2018-01-29T00:00:00+01:00,2026-01-28T11:00:00+01:00
Roma,VILLA ADA,o3 µg/m³,21870,VIA SALARIA - Roma (RM),Europe/Rome,False,True,4828.92575678,Italy,Unknown Governmental Organization,EEA,41.9328920002536,12.506946999834163,2022-10-04T20:00:00+02:00,2026-01-28T21:00:00+01:00
